question,options,answer
What is the derivative of sin(x)?,"['-cos(x)','cos(x)','-sin(x)','tan(x)']",cos(x)
What is the value of pi (approximately)?,"['2.71','3.14','1.41','3.73']",3.14
Which of the following is an irrational number?,"['sqrt(2)','1/2','0.75','4']",sqrt(2)
What is the integration of 1/x dx?,"['1/x + C','ln|x| + C','x + C','e^x + C']",ln|x| + C
What is the sum of the first n natural numbers?,"['n^2','n(n+1)/2','n(n-1)/2','2n']",n(n+1)/2
"What is the determinant of a 2x2 matrix [[a, b], [c, d]]?","['ab + cd','ad - bc','ab - cd','ac - bd']",ad - bc
What is (a + b)^2?,"['a^2 - 2ab + b^2','a^2 + 2ab + b^2','a^2 + b^2','2a^2 + b^2']",a^2 + 2ab + b^2
What is the slope of a line parallel to y = 3x + 7?,"['-3','1/3','3','0']",3
What is the value of cos(90 degrees)?,"['1','0','-1','undefined']",0
What is the solution of x^2 - 4 = 0?,"['4 and -4','2','2 and -2','-2']",2 and -2
What is the value of log(1)?,"['1','-1','undefined','0']",0
Find the value of sin(45 degrees)?,"['0','sqrt(2)/2','1/2','1']",sqrt(2)/2
What is the limit of (1 + 1/n)^n as n approaches infinity?,"['e','1','0','infinity']",e
Evaluate the integral of e^x dx,"['ln(x) + C','x e^x + C','e^x + C','x^2 + C']",e^x + C
What is the probability of getting heads in a fair coin toss?,"['1/3','1/2','1/4','2/3']",1/2
What is the formula for the area of a triangle?,"['base * height','2 * base * height','1/2 * base * height','base + height']",1/2 * base * height
"What is the distance formula between two points (x1,y1) and (x2,y2)?","['sqrt((x2-x1)^2 + (y2-y1)^2)','(x2-x1) + (y2-y1)','(x2+x1)/2','(y2-y1)/(x2-x1)']",sqrt((x2-x1)^2 + (y2-y1)^2)
What is the discriminant of the quadratic equation ax^2 + bx + c = 0?,"['b^2 - 4ac','b^2 + 2ac','b^2 + 4ac','b^2 - 2ac']",b^2 - 4ac
What is the area of a circle with radius r?,"['3.14 * r^2','2 * 3.14 * r','3.14 * d','3.14 * r']",3.14 * r^2
What is the derivative of x^2?,"['x','2','x^2','2x']",2x
What is the sum of an arithmetic progression?,"['n(a * l)','n/2 * (a + l)','n(a + l)','n(a - l)']",n/2 * (a + l)
What is the integration of cos(x)?,"['cos(x) + C','sin(x) + C','-sin(x) + C','-cos(x) + C']",sin(x) + C
What is the general solution of sin(x) = 0?,"['n * pi','(2n+1) * pi','2 * n * pi','pi / 2']",n * pi
What is the formula for the volume of a sphere?,"['(4/3) * 3.14 * r^3','3.14 * r^2','3.14 * r^2 * h','2 * 3.14 * r']",(4/3) * 3.14 * r^3
What is the slope of a line perpendicular to y = 2x + 3?,"['2','1/2','-1/2','-2']",-1/2
