question,options,answer
What is the pH of pure water at 25°C?,"['0','7','14','1']",7
Which gas is evolved when zinc reacts with dilute HCl?,"['Oxygen','Hydrogen','Chlorine','Nitrogen']",Hydrogen
What is Avogadro's number?,"['6.022 x 10^23','9.8 x 10^9','1.6 x 10^-19','3.14']",6.022 x 10^23
Which element has the highest electronegativity?,"['Oxygen','Fluorine','Chlorine','Nitrogen']",Fluorine
What is the chemical formula of gypsum?,"['CaCO3','CaSO4·2H2O','Ca(OH)2','CaCl2']",CaSO4·2H2O
What is the oxidation state of sulfur in H2SO4?,"['+4','+6','-2','0']",+6
What is the common name of NaCl?,"['Baking soda','Table salt','Washing soda','Lime']",Table salt
Which type of bond is present in NaCl?,"['Covalent bond','Ionic bond','Hydrogen bond','Metallic bond']",Ionic bond
What is the formula of benzene?,"['C2H6','C3H8','C6H6','C4H10']",C6H6
Which catalyst is used in the Haber process?,"['Iron','Platinum','Nickel','Copper']",Iron
What is the molar mass of water?,"['18 g/mol','16 g/mol','20 g/mol','14 g/mol']",18 g/mol
What is the hybridization of carbon in methane?,"['sp','sp2','sp3','sp3d']",sp3
Which acid is known as the king of chemicals?,"['Nitric acid','Sulfuric acid','Hydrochloric acid','Acetic acid']",Sulfuric acid
Which gas turns lime water milky?,"['CO2','O2','N2','H2']",CO2
What is the IUPAC name of CH3COOH?,"['Methanoic acid','Ethanoic acid','Propanoic acid','Butanoic acid']",Ethanoic acid
What is the pH of a neutral solution?,"['0','7','14','1']",7
Which metal is liquid at room temperature?,"['Iron','Mercury','Copper','Aluminum']",Mercury
What is the chemical formula of baking soda?,"['NaCl','NaHCO3','Na2CO3','NaOH']",NaHCO3
Which process is used to extract aluminum from bauxite?,"['Electrolysis','Distillation','Reduction','Oxidation']",Electrolysis
Which allotrope of carbon is the hardest?,"['Diamond','Graphite','Fullerene','Carbon nanotube']",Diamond
What is the main ore of iron?,"['Bauxite','Hematite','Galena','Calcite']",Hematite
Which gas is known as laughing gas?,"['NO','NO2','N2O','CO2']",N2O
Which element is used in nuclear reactors as fuel?,"['Thorium','Uranium','Plutonium','Radium']",Uranium
Which acid is present in vinegar?,"['Acetic acid','Formic acid','Citric acid','Oxalic acid']",Acetic acid
What is the oxidation state of iron in Fe2O3?,"['+2','+3','0','-2']",+3
